CL_target,CD_target,CoP_target,Total_Points_legacy,Total_Points_corrected,Endurance_Score_legacy,Endurance_Score_corrected,Autocross_Score_legacy,Autocross_Score_corrected,Skidpad_Score_legacy,Skidpad_Score_corrected,Accel_Score_legacy,Accel_Score_corrected,DragEnergy_Endurance_kJ_legacy,DragEnergy_Endurance_kJ_corrected,TractiveEnergy_Endurance_kJ_legacy,TractiveEnergy_Endurance_kJ_corrected
0.055,0.015,0.45,399.96156874588434,436.2763003717654,190.83824284632541,201.67585473991736,82.08385791597946,85.9614444959712,73.1911172379082,71.5564571882843,53.848350745671254,77.08254394759254,471.8426174195486,488.4023789413012,1787.761677734417,1926.5199977411096
0.035,0.0175,0.45,362.40403342412606,399.8319499679214,171.67074227726027,183.51506328333124,72.25713957802952,76.52685210224932,68.58611294610265,66.84552330766451,49.890038622733634,72.9445112746763,501.66397398878576,519.3747284881896,1671.4680917780709,1794.7869009891754
0.04,0.0175,0.45,371.45928028099684,407.52988480983356,175.78837068924298,187.6854888171023,74.21725098878247,78.76008904802865,70.622641325867,67.28399572905133,50.83101727710434,73.8003112156513,512.5862689389492,530.5504210157867,1713.8552938006278,1837.501946074708
0.045,0.0175,0.45,378.9464836502103,417.14445170133024,179.86843828416997,192.2089307079904,76.41921666317177,81.03382402958295,70.92736431137273,69.18001396035498,51.73146439149589,74.72168300340186,524.0455024283355,542.3249778681219,1753.263036768834,1882.5662780112134
0.05,0.0175,0.45,390.87643056277443,424.7233549949166,186.03241407693002,196.28669344172098,79.40086125965861,83.25744775325722,72.85645491705218,69.61305883764614,52.586700309133626,75.5661549622922,535.1369398061474,553.4327428481129,1792.052957633103,1924.8627920041936
0.055,0.0175,0.45,398.15505599947767,433.85908747692554,189.9875350529468,200.563079084134,81.58295440236151,85.28756994054042,73.16307568764967,71.65724493524924,53.421490856519675,76.35119351700187,546.3412046162704,564.9712884871573,1830.341294180919,1966.044037177029
0.035,0.02,0.45,361.2862176518372,395.95170884186064,171.1376352439423,182.27393395723342,71.99298152994406,76.01862648887248,68.58395612255434,65.36268546580872,49.571644755396484,72.29646292994599,570.4533194067437,588.95516546588,1712.7648865098372,1833.5764916048681
0.04,0.02,0.45,368.6596548369351,405.52519747021466,175.04733660617475,186.84497669188306,74.10486005436833,78.28710529462398,69.0253889216194,67.24750182885386,50.48206925477262,73.14561365485376,582.5963486039138,602.2725459374731,1754.5512919164673,1878.3442797449734
0.045,0.02,0.45,377.51210041172476,413.04512616118336,179.1089008543797,190.87195102569996,76.00327720135239,80.43704598517527,71.06552076211548,67.68417491479914,51.33440159387713,74.05195423550896,594.9701346297993,614.3543359206589,1796.9092895899107,1921.659170823327
0.05,0.02,0.45,387.8107182824946,421.1023205753141,185.1635131681614,194.7219898832884,79.2425332372769,82.33284512933407,71.23382315775692,69.20201798925793,52.17084871929931,74.84546757343371,607.5014383553196,626.9200206269768,1834.706929280448,1965.583119205971
0.055,0.02,0.45,396.5162741827265,428.38063946403736,189.11158356701003,198.71953785879046,81.10187262762794,84.53288536912892,73.30307711016314,69.5026561954192,52.99974087792537,75.62556004069879,619.6412549169635,638.9470955976996,1874.5920796929365,2008.2069267269003
0.035,0.0225,0.45,360.1774627917748,392.9025157737019,170.56903512020475,180.95696908486894,71.67719741853927,75.41860471803248,68.72352055643506,64.86478765825109,49.207709696595785,71.66215431254935,638.7603009499044,657.4377154116507,1756.9098510069623,1870.6681148097096
0.04,0.0225,0.45,367.1835967872196,402.3804307731783,174.40795545575557,185.4149970261942,73.70797094941238,77.59402401590182,68.98861451009613,66.87471193682725,50.07905587195549,72.49669779425504,651.9165630391986,672.0460087235344,1797.628449212698,1917.6621901397882
0.045,0.0225,0.45,375.91245604886984,409.92195513939015,178.40096119060684,189.54221042716176,75.5447174824617,79.83291658477046,71.03785738960455,67.18173265694365,50.92891998619677,73.36509547051422,665.4048730254362,685.6850556329546,1838.5315274317459,1963.3338459168126
0.05,0.0225,0.45,386.336386791734,418.8269061656753,184.56591373693146,193.67178506173008,78.80161662516751,81.80868573726714,71.20847200281239,69.20744457305801,51.76038442682268,74.1389907936201,679.9248190635535,699.0995913761644,1878.2046289349705,2005.6947931594812
0.055,0.0225,0.45,394.8406368046937,426.2937832087518,188.34999802815722,197.72979454095525,80.64934819036624,84.017900642289,73.26574253943998,69.64005668098065,52.575548046730276,74.90603134452687,692.4251872026679,713.1045434417485,1917.697593013227,2049.125610508785
0.035,0.025,0.45,358.7458385751875,387.94588993546574,169.96345001503704,177.9928979784391,71.29333010006847,73.83137041799736,68.68628790645704,65.08701700710711,48.802770553624946,71.03460453192221,706.027997606568,725.3472709975692,1796.244878223215,1910.854538932766
0.04,0.025,0.45,365.71457893942784,400.18464890783366,173.6162095160395,184.45541397693074,73.31481163569073,77.0340529756432,69.1259329021329,66.84818955298584,49.65762488556472,71.84699240227391,719.5454005682792,741.3126749320535,1837.5125813180969,1957.4636821106114
0.045,0.025,0.45,374.528900252093,407.74478630186735,177.72487939761388,188.54831657627759,75.27225413130506,79.2436935097824,71.0359116190473,67.27425452204638,50.495855104126825,72.678521693761,734.6128301375916,756.2883338728736,1880.4424538459318,2003.0696742942373
0.05,0.025,0.45,383.53971042040195,416.6356453783783,183.26309187130684,192.7455333868768,78.12764128376817,81.27014829590662,70.83015688695968,69.18001468924965,51.31882037836725,73.43994900634526,749.5910939019087,771.1173340719149,1922.788968033299,2046.9150495346726
