AeroTag,CL_target,CD_target,CoP_target,Accel_Score,Skidpad_Score,Autocross_Score,Endurance_Score,Total_Points,Skidpad_Time,Accel_Time,Autocross_Time,Endurance_Lap_Time,RunNumber,RunMode,DragEnergy_Endurance_kJ,DragEnergy_Autocross_kJ,TractiveEnergy_Endurance_kJ,TractiveEnergy_Autocross_kJ,Efficiency_Score,Mass_lbf,MassScenario,BSFC_g_per_kWh,EngineMode
Fast_CL_0.055_CD_0.015_CoP_0.575,0.055,0.015,0.575,74.9331065749102,78.58147554785543,91.6096777668455,210.4921081302299,455.61636801984105,4.802339014068562,4.502981720345662,53.47527210978051,125.28137766532038,21,Fast,496.6029725219523,208.54829974126702,1917.7408208713796,882.247298308182,,580.0,baseline,,corrected
Fast_CL_0.055_CD_0.015_CoP_0.600,0.055,0.015,0.6,74.46039289936157,79.04448903591535,91.00612606038897,209.80177035710147,454.31277835276734,4.794413693425466,4.5111385943306495,53.56805943124007,125.39819486188871,22,Fast,493.6020643379524,206.7120785449251,1906.3812576888465,875.6999905696799,,580.0,baseline,,corrected
Fast_CL_0.055_CD_0.015_CoP_0.625,0.055,0.015,0.625,74.03442303049039,80.84520701051015,88.38528140524528,207.26660393093573,450.53151537718156,4.763960013329436,4.518514238182755,53.97473959347032,125.82906467167717,23,Fast,486.2261753397714,201.1762042440803,1886.0192928073407,864.4600123838466,,580.0,baseline,,corrected
Fast_CL_0.055_CD_0.015_CoP_0.650,0.055,0.015,0.65,73.59087693688899,82.66246309889834,88.46120735394419,206.7460299158576,451.46057730558914,4.733807545095665,4.526219888464809,53.96287122363958,125.91790666347592,24,Fast,484.62298001550323,202.1699291839572,1875.2965008800336,860.735389681717,,580.0,baseline,,corrected
Fast_CL_0.055_CD_0.015_CoP_0.675,0.055,0.015,0.675,73.08265837424203,83.66027379129957,88.4810642212314,207.51794558973177,452.7419419765048,4.717493142099445,4.535081454874316,53.95976815704313,125.78621516442584,25,Fast,481.7592046628758,200.7016567649404,1864.1292015748436,857.9586755386624,,580.0,baseline,,corrected
Fast_CL_0.055_CD_0.015_CoP_0.700,0.055,0.015,0.7,72.59559457765317,83.85519982871398,86.25850464208594,204.85923333192167,447.56853238037473,4.714325712361171,4.543606779262218,54.30932121057423,126.24096445309205,26,Fast,474.91047807675966,196.19167875080748,1842.372880398434,845.6821269614859,,580.0,baseline,,corrected
Fast_CL_0.055_CD_0.015_CoP_0.725,0.055,0.015,0.725,72.09377891282716,83.3151965839614,86.038347602037,203.82064630496677,445.26796940379234,4.7231161269886925,4.5524239018791235,54.34419308850876,126.41949996066855,27,Fast,472.87761290821965,196.0223173894711,1833.0443453363187,842.7264372836561,,580.0,baseline,,corrected
Fast_CL_0.055_CD_0.022_CoP_0.525,0.055,0.0225,0.525,73.7307565599806,73.79248020430514,88.13958044413233,203.42438875878392,439.087205967202,4.886686025961303,4.523786948022266,54.01318216349333,126.48775070952364,28,Fast,724.3953833736191,304.7331404245777,2051.9477832646453,939.2093428942426,,580.0,baseline,,corrected
Fast_CL_0.055_CD_0.022_CoP_0.550,0.055,0.0225,0.55,73.36509547051422,75.7921753299921,88.84399260272416,204.9367831482224,442.9380465514529,4.850929051417318,4.530152454174344,53.90311552219087,126.22765369091579,29,Fast,731.0996150386336,306.89561474089066,2065.8294816994553,942.2783707250529,,580.0,baseline,,corrected
Fast_CL_0.055_CD_0.022_CoP_0.575,0.055,0.0225,0.575,72.94573077177301,76.66041319054726,89.0666947592288,205.44125060156492,444.114089323114,4.835646416553613,4.5374749335751225,53.86841087028521,126.141134642917,30,Fast,730.6691050750811,306.4864553940864,2059.6270396743234,938.290720616645,,580.0,baseline,,corrected
Fast_CL_0.055_CD_0.022_CoP_0.600,0.055,0.0225,0.6,72.49669779425504,78.66789889881784,88.7113034391772,206.46465593807775,446.34055607032786,4.800856737287621,4.545341736114262,53.92381432214337,125.96597864538238,31,Fast,724.5864162046473,301.9447020526815,2043.9509237451275,931.9306340996393,,580.0,baseline,,corrected
Fast_CL_0.055_CD_0.022_CoP_0.625,0.055,0.0225,0.625,72.09113559680684,80.50951295006577,87.5709751056845,205.26672804560832,445.43835169816543,4.769593258160814,4.552470436711044,54.10235695884917,126.17105283610002,32,Fast,719.2880283266228,298.7417853806967,2028.41827388703,923.4393499957548,,580.0,baseline,,corrected
Fast_CL_0.055_CD_0.022_CoP_0.650,0.055,0.0225,0.65,71.66215431254935,82.32181837178786,86.28517220781596,203.87012047998144,444.13926537213456,4.7394160306778526,4.560035157495486,54.30510022753266,126.4109837817407,33,Fast,713.4879809043897,295.3694830974168,2012.349034566756,915.3680425071899,,580.0,baseline,,corrected
Fast_CL_0.055_CD_0.022_CoP_0.675,0.055,0.0225,0.675,71.21231411964717,82.26136644419444,86.4212687948914,203.1457641126901,443.04071347142315,4.740413415133908,4.567994758114089,54.2835688663916,126.53578470350988,34,Fast,711.10837798522,296.76498605089904,2005.582616013841,914.1253734118842,,580.0,baseline,,corrected
Fast_CL_0.055_CD_0.022_CoP_0.700,0.055,0.0225,0.7,70.77237667741112,83.39340175819304,86.09144000772814,203.51958478983232,443.77680323316457,4.721840022636286,4.5758060589462515,54.33577939497971,126.47134757695315,35,Fast,705.6855779060536,293.739190150426,1987.2613451905431,905.288716763547,,580.0,baseline,,corrected
Fast_CL_0.055_CD_0.022_CoP_0.725,0.055,0.0225,0.725,70.31829018550907,83.50898263028262,85.12216293240986,201.90241351276097,440.8518492609625,4.719955936971267,4.583896649843925,54.48979483240428,126.75057975041712,36,Fast,699.4390295378653,290.9194775899446,1969.8754659018775,896.6940450314,,580.0,baseline,,corrected
