candidate,draw,sf_x,sf_y,mass_delta_lbf,Total_Points,DragEnergy_Endurance_kJ
window_best_cop525,33,0.4856349877425331,0.4517962035652556,11.111547511300014,-635.0170513735588,0.004335723564432393
window_best_cop525,34,0.4436953822843052,0.47929750670120863,4.090842655893727,398.7493976312588,688.4657901673257
window_best_cop525,35,0.4182922169965885,0.5227111743981918,-10.207552801247402,441.99751997823375,725.1134435450673
window_best_cop525,36,0.465602612154832,0.4993178951008117,-0.05194326862349463,438.34508102754126,724.260220875677
window_best_cop525,37,0.42319944250092345,0.5352919994454528,-12.63990724095127,461.118453223068,743.2735535624215
window_best_cop525,38,0.48612879708193596,0.471721130352149,3.3293936207968713,-628.508360232573,0.003536417636432669
window_best_cop525,39,0.42454334316766756,0.48151827471434316,-8.05010315707627,393.007272350648,681.8834660429033
window_cop575,0,0.416571318249228,0.45330746873774286,-7.255774444362349,357.67651394059845,655.2339941202174
window_cop575,1,0.44993500761961036,0.47007689541612196,14.34903411942651,394.8324582979587,682.7163224014458
window_cop575,2,0.4591348521861022,0.484574787375564,13.230179839543045,418.9176208737473,701.6060193426646
window_cop575,3,0.40758201075347505,0.4968908163422485,-4.779414724304727,405.903227676247,690.3785300773608
window_cop575,4,0.4183133476119711,0.5406134338895561,-1.91995489223007,467.72651889423537,736.7036891397083
window_cop575,5,0.4885389920664333,0.5197361088736299,-5.570411138884413,485.51458947207925,760.4637950332931
window_cop575,6,0.4113378518538777,0.48393206607424455,7.395267519162317,388.0344977697082,675.7809523312696
window_cop575,7,0.4166796554459368,0.4516877215097498,-13.799606923404292,357.0878784233366,655.9557309418844
window_cop575,8,0.4903495607962598,0.4659823694104981,-12.976832007239217,-627.1260461706058,0.0035989792274317358
window_cop575,9,0.4609695233516745,0.5496435875539671,-2.8788723759478128,501.03908798983946,766.7844203817469
window_cop575,10,0.4382093811356812,0.4959715979893185,-7.6471784665780795,425.598820773644,710.9612358892904
window_cop575,11,0.4510251019622937,0.5191039916318759,10.356749451036805,453.4283962889463,729.1165960644485
window_cop575,12,0.46465586572651196,0.4554668061401838,7.254212894258703,389.65337837446293,674.1859269880608
window_cop575,13,0.4297777934185017,0.45340502789470377,1.3738194756887019,366.375180686045,660.7343469478577
window_cop575,14,0.417417126558026,0.5345890106445058,4.8442654294050165,451.69797980894845,714.9140583444367
window_cop575,15,0.4759235635053593,0.5087881940666861,5.7683732005477175,461.1641879385597,738.1020585544916
window_cop575,16,0.46533245256922356,0.4808709743204562,8.431644701950262,418.5626702360299,700.3885873365984
window_cop575,17,0.4511144082134845,0.48173766382813377,12.82507791347048,411.84138949630005,694.2011704757205
window_cop575,18,0.4785062792372693,0.4589237254417749,-10.50794478636801,-632.1593143660517,0.003893636055448525
window_cop575,19,0.4544167741983024,0.46726696011085755,3.783904732361446,398.8294573973541,687.0068879888262
window_cop575,20,0.49328222753675754,0.45245861074651866,-10.691356706599347,-630.7140288075273,0.004106107348390229
window_cop575,21,0.42340585151970406,0.5339124848372783,-1.7060717614590928,462.762939131741,734.5507594499128
window_cop575,22,0.45483573265787053,0.49663031972031657,8.58854365871196,434.2855397886056,713.3362860815062
window_cop575,23,0.44852622272310494,0.46272029160585304,11.840933810584364,386.7734831736293,671.8834913696545
window_cop575,24,0.43679473695544035,0.5239246874033693,7.77684462373589,450.08118645762045,721.054605838626
window_cop575,25,0.45824357735541393,0.4695652829945321,-13.937753877552188,406.6287189523583,698.019323449954
window_cop575,26,0.42617711085008225,0.4561920235148453,-4.217637706986698,364.9907350892198,656.6078707034601
window_cop575,27,0.4771982415400636,0.5098392107324039,-10.108295027354133,469.1046393125054,748.6598903915434
window_cop575,28,0.48306001966581735,0.5395757751741282,14.964074628972053,497.73221472737043,764.1724615414771
window_cop575,29,0.4165883704105066,0.4526943411384703,-10.679539271098879,358.12796728234457,656.2991505251254
window_cop575,30,0.44703658860644446,0.530513598989167,-7.670566714605512,471.2321336672491,743.1867532335328
window_cop575,31,0.42994304032803343,0.4690170016728341,-4.283408616614189,386.27667240507265,678.5300275208899
window_cop575,32,0.41248052979617184,0.4592901421636547,-13.17339891272436,362.1022398640468,659.917198996386
window_cop575,33,0.4856349877425331,0.4517962035652556,11.111547511300014,-633.3102505029334,0.004128149407349898
window_cop575,34,0.4436953822843052,0.47929750670120863,4.090842655893727,405.7573712474815,692.4846725455567
window_cop575,35,0.4182922169965885,0.5227111743981918,-10.207552801247402,446.31171581479174,723.4889248523037
window_cop575,36,0.465602612154832,0.4993178951008117,-0.05194326862349463,446.5529273093891,727.4626129448263
window_cop575,37,0.42319944250092345,0.5352919994454528,-12.63990724095127,466.03083427236936,739.339595717035
window_cop575,38,0.48612879708193596,0.471721130352149,3.3293936207968713,-626.9255967003376,0.00332298629006434
window_cop575,39,0.42454334316766756,0.48151827471434316,-8.05010315707627,395.7557281803293,686.5902431527586
window_cop625,0,0.416571318249228,0.45330746873774286,-7.255774444362349,354.9693828706377,626.0826739395774
window_cop625,1,0.44993500761961036,0.47007689541612196,14.34903411942651,398.0025676731116,677.0251348717665
window_cop625,2,0.4591348521861022,0.484574787375564,13.230179839543045,417.98359812833127,692.3906643026888
window_cop625,3,0.40758201075347505,0.4968908163422485,-4.779414724304727,406.63267306131166,683.2651077635037
window_cop625,4,0.4183133476119711,0.5406134338895561,-1.91995489223007,466.614703268547,728.6084321008326
window_cop625,5,0.4885389920664333,0.5197361088736299,-5.570411138884413,485.79926823924757,750.5003197027826
window_cop625,6,0.4113378518538777,0.48393206607424455,7.395267519162317,387.57024466951367,662.536009562706
window_cop625,7,0.4166796554459368,0.4516877215097498,-13.799606923404292,355.25408469807803,647.4896989077033
window_cop625,8,0.4903495607962598,0.4659823694104981,-12.976832007239217,-625.7450101987798,0.0033607926433541204
window_cop625,9,0.4609695233516745,0.5496435875539671,-2.8788723759478128,506.4501156982044,762.610381866496
window_cop625,10,0.4382093811356812,0.4959715979893185,-7.6471784665780795,420.54146532627124,695.9368119717902
window_cop625,11,0.4510251019622937,0.5191039916318759,10.356749451036805,457.95361768224586,724.1834616473047
window_cop625,12,0.46465586572651196,0.4554668061401838,7.254212894258703,392.01921897571,676.2227726174466
window_cop625,13,0.4297777934185017,0.45340502789470377,1.3738194756887019,365.79151018752844,653.041443475984
window_cop625,14,0.417417126558026,0.5345890106445058,4.8442654294050165,457.4555173737052,720.3322522709768
window_cop625,15,0.4759235635053593,0.5087881940666861,5.7683732005477175,463.71489974649404,730.9878813066273
window_cop625,16,0.46533245256922356,0.4808709743204562,8.431644701950262,422.2790841016175,698.3674550712409
window_cop625,17,0.4511144082134845,0.48173766382813377,12.82507791347048,410.714929922988,684.4973704570323
window_cop625,18,0.4785062792372693,0.4589237254417749,-10.50794478636801,-630.704805022112,0.0036537233695577076
window_cop625,19,0.4544167741983024,0.46726696011085755,3.783904732361446,397.91398092566624,678.7862541848021
window_cop625,20,0.49328222753675754,0.45245861074651866,-10.691356706599347,-629.3924019561834,0.003841086169039489
window_cop625,21,0.42340585151970406,0.5339124848372783,-1.7060717614590928,460.10338105999796,725.3853876451883
window_cop625,22,0.45483573265787053,0.49663031972031657,8.58854365871196,434.823224432177,707.2659580880317
window_cop625,23,0.44852622272310494,0.46272029160585304,11.840933810584364,387.33138009368565,668.7919942218465
window_cop625,24,0.43679473695544035,0.5239246874033693,7.77684462373589,451.47297059872267,715.2141293317711
window_cop625,25,0.45824357735541393,0.4695652829945321,-13.937753877552188,407.7418481480477,690.4053833197811
window_cop625,26,0.42617711085008225,0.4561920235148453,-4.217637706986698,364.3910732489967,638.3763831590062
window_cop625,27,0.4771982415400636,0.5098392107324039,-10.108295027354133,468.4305865638661,738.7848159637174
window_cop625,28,0.48306001966581735,0.5395757751741282,14.964074628972053,499.02630698555515,757.4103589555187
window_cop625,29,0.4165883704105066,0.4526943411384703,-10.679539271098879,351.90031987609456,625.2468906986517
window_cop625,30,0.44703658860644446,0.530513598989167,-7.670566714605512,472.3759556048866,733.6907292872306
window_cop625,31,0.42994304032803343,0.4690170016728341,-4.283408616614189,386.84781192765536,669.7447448493504
window_cop625,32,0.41248052979617184,0.4592901421636547,-13.17339891272436,361.31955107657836,650.4533205670444
window_cop625,33,0.4856349877425331,0.4517962035652556,11.111547511300014,-634.0321372601869,0.004126439935813399
window_cop625,34,0.4436953822843052,0.47929750670120863,4.090842655893727,406.579960302983,685.3403685464486
window_cop625,35,0.4182922169965885,0.5227111743981918,-10.207552801247402,446.95225734715876,715.9974563197485
window_cop625,36,0.465602612154832,0.4993178951008117,-0.05194326862349463,446.1505390057486,719.1714904360165
window_cop625,37,0.42319944250092345,0.5352919994454528,-12.63990724095127,466.59479647933404,731.1729564955299
window_cop625,38,0.48612879708193596,0.471721130352149,3.3293936207968713,-625.4170997696872,0.003108809363771986
window_cop625,39,0.42454334316766756,0.48151827471434316,-8.05010315707627,395.5281503531149,674.1628153041007
unconstrained_best,0,0.416571318249228,0.45330746873774286,-7.255774444362349,374.2702743405829,452.4739750611099
unconstrained_best,1,0.44993500761961036,0.47007689541612196,14.34903411942651,412.1326412520995,471.24135185043633
unconstrained_best,2,0.4591348521861022,0.484574787375564,13.230179839543045,434.5096188429343,482.20895872202664
unconstrained_best,3,0.40758201075347505,0.4968908163422485,-4.779414724304727,418.11526114797044,474.71681004540216
unconstrained_best,4,0.4183133476119711,0.5406134338895561,-1.91995489223007,479.7148883389432,507.63498058362075
unconstrained_best,5,0.4885389920664333,0.5197361088736299,-5.570411138884413,504.16316499291395,524.811387416003
unconstrained_best,6,0.4113378518538777,0.48393206607424455,7.395267519162317,404.8429499728161,467.3421604675803
unconstrained_best,7,0.4166796554459368,0.4516877215097498,-13.799606923404292,371.7010118125324,452.94877998235955
unconstrained_best,8,0.4903495607962598,0.4659823694104981,-12.976832007239217,-619.8741510229102,0.002069218231075504
unconstrained_best,9,0.4609695233516745,0.5496435875539671,-2.8788723759478128,523.550120289474,534.2984229557132
unconstrained_best,10,0.4382093811356812,0.4959715979893185,-7.6471784665780795,440.114007773101,490.78272460907414
unconstrained_best,11,0.4510251019622937,0.5191039916318759,10.356749451036805,474.59365186299624,503.9895405783119
unconstrained_best,12,0.46465586572651196,0.4554668061401838,7.254212894258703,406.919016887158,467.70234434663223
unconstrained_best,13,0.4297777934185017,0.45340502789470377,1.3738194756887019,379.1076702312832,454.32641002295674
unconstrained_best,14,0.417417126558026,0.5345890106445058,4.8442654294050165,469.5697343003425,501.56596217088793
unconstrained_best,15,0.4759235635053593,0.5087881940666861,5.7683732005477175,479.3888084287672,509.688493663674
unconstrained_best,16,0.46533245256922356,0.4808709743204562,8.431644701950262,438.34438969367426,486.90114580138015
unconstrained_best,17,0.4511144082134845,0.48173766382813377,12.82507791347048,426.6976020531964,480.01818731133454
unconstrained_best,18,0.4785062792372693,0.4589237254417749,-10.50794478636801,-627.055066783577,0.0024230294460363833
unconstrained_best,19,0.4544167741983024,0.46726696011085755,3.783904732361446,416.62345251327145,474.5512456756406
unconstrained_best,20,0.49328222753675754,0.45245861074651866,-10.691356706599347,-624.9193241691534,0.002624019908682981
unconstrained_best,21,0.42340585151970406,0.5339124848372783,-1.7060717614590928,476.0717553387732,506.18589345911107
unconstrained_best,22,0.45483573265787053,0.49663031972031657,8.58854365871196,449.0862033186788,492.2856570111466
unconstrained_best,23,0.44852622272310494,0.46272029160585304,11.840933810584364,402.96192687691854,466.26012924275426
unconstrained_best,24,0.43679473695544035,0.5239246874033693,7.77684462373589,470.18320200014955,502.2781403008175
unconstrained_best,25,0.45824357735541393,0.4695652829945321,-13.937753877552188,425.49333425545376,481.11956042802746
unconstrained_best,26,0.42617711085008225,0.4561920235148453,-4.217637706986698,384.79469522063766,458.0333141519654
unconstrained_best,27,0.4771982415400636,0.5098392107324039,-10.108295027354133,483.83063933189976,514.7896789846712
unconstrained_best,28,0.48306001966581735,0.5395757751741282,14.964074628972053,516.6976634353126,528.115979608619
unconstrained_best,29,0.4165883704105066,0.4526943411384703,-10.679539271098879,374.64668480885075,453.246680818644
unconstrained_best,30,0.44703658860644446,0.530513598989167,-7.670566714605512,492.43130342727534,517.3464083268589
unconstrained_best,31,0.42994304032803343,0.4690170016728341,-4.283408616614189,401.1912404054877,467.45430347408126
unconstrained_best,32,0.41248052979617184,0.4592901421636547,-13.17339891272436,378.89713433740445,456.3705206303975
unconstrained_best,33,0.4856349877425331,0.4517962035652556,11.111547511300014,-628.1595238225237,0.0025867136056483006
unconstrained_best,34,0.4436953822843052,0.47929750670120863,4.090842655893727,421.7012118934362,478.1797680463361
unconstrained_best,35,0.4182922169965885,0.5227111743981918,-10.207552801247402,464.54794726326406,501.47141953656103
unconstrained_best,36,0.465602612154832,0.4993178951008117,-0.05194326862349463,461.29648900721395,500.5636199745656
