AeroTag,CL_target,CD_target,CoP_target,ErrorMessage,RunNumber
CL_0.110_CD_0.050_CoP_0.375,0.11,0.05,0.375,Lap_Sim_constantAero_T27.m not found.,97
CL_0.120_CD_0.050_CoP_0.375,0.12,0.05,0.375,Lap_Sim_constantAero_T27.m not found.,98
CL_0.130_CD_0.050_CoP_0.375,0.13,0.05,0.375,Lap_Sim_constantAero_T27.m not found.,99
CL_0.140_CD_0.050_CoP_0.375,0.14,0.05,0.375,Lap_Sim_constantAero_T27.m not found.,100
CL_0.040_CD_0.055_CoP_0.375,0.04,0.055,0.375,Lap_Sim_constantAero_T27.m not found.,101
CL_0.050_CD_0.055_CoP_0.375,0.05,0.055,0.375,Lap_Sim_constantAero_T27.m not found.,102
CL_0.060_CD_0.055_CoP_0.375,0.06,0.055,0.375,Lap_Sim_constantAero_T27.m not found.,103
CL_0.070_CD_0.055_CoP_0.375,0.07,0.055,0.375,Lap_Sim_constantAero_T27.m not found.,104
CL_0.080_CD_0.055_CoP_0.375,0.08,0.055,0.375,Lap_Sim_constantAero_T27.m not found.,105
CL_0.090_CD_0.055_CoP_0.375,0.09,0.055,0.375,Lap_Sim_constantAero_T27.m not found.,106
CL_0.100_CD_0.055_CoP_0.375,0.1,0.055,0.375,Lap_Sim_constantAero_T27.m not found.,107
CL_0.110_CD_0.055_CoP_0.375,0.11,0.055,0.375,Lap_Sim_constantAero_T27.m not found.,108
CL_0.120_CD_0.055_CoP_0.375,0.12,0.055,0.375,Lap_Sim_constantAero_T27.m not found.,109
CL_0.130_CD_0.055_CoP_0.375,0.13,0.055,0.375,Lap_Sim_constantAero_T27.m not found.,110
CL_0.140_CD_0.055_CoP_0.375,0.14,0.055,0.375,Lap_Sim_constantAero_T27.m not found.,111
CL_0.040_CD_0.060_CoP_0.375,0.04,0.06,0.375,Lap_Sim_constantAero_T27.m not found.,112
CL_0.050_CD_0.060_CoP_0.375,0.05,0.06,0.375,Lap_Sim_constantAero_T27.m not found.,113
CL_0.060_CD_0.060_CoP_0.375,0.06,0.06,0.375,Lap_Sim_constantAero_T27.m not found.,114
CL_0.070_CD_0.060_CoP_0.375,0.07,0.06,0.375,Lap_Sim_constantAero_T27.m not found.,115
CL_0.080_CD_0.060_CoP_0.375,0.08,0.06,0.375,Lap_Sim_constantAero_T27.m not found.,116
CL_0.090_CD_0.060_CoP_0.375,0.09,0.06,0.375,Lap_Sim_constantAero_T27.m not found.,117
CL_0.100_CD_0.060_CoP_0.375,0.1,0.06,0.375,Lap_Sim_constantAero_T27.m not found.,118
CL_0.110_CD_0.060_CoP_0.375,0.11,0.06,0.375,Lap_Sim_constantAero_T27.m not found.,119
CL_0.120_CD_0.060_CoP_0.375,0.12,0.06,0.375,Lap_Sim_constantAero_T27.m not found.,120
CL_0.130_CD_0.060_CoP_0.375,0.13,0.06,0.375,Lap_Sim_constantAero_T27.m not found.,121
CL_0.140_CD_0.060_CoP_0.375,0.14,0.06,0.375,Lap_Sim_constantAero_T27.m not found.,122
CL_0.040_CD_0.010_CoP_0.400,0.04,0.01,0.4,Lap_Sim_constantAero_T27.m not found.,123
CL_0.050_CD_0.010_CoP_0.400,0.05,0.01,0.4,Lap_Sim_constantAero_T27.m not found.,124
CL_0.060_CD_0.010_CoP_0.400,0.06,0.01,0.4,Lap_Sim_constantAero_T27.m not found.,125
CL_0.070_CD_0.010_CoP_0.400,0.07,0.01,0.4,Lap_Sim_constantAero_T27.m not found.,126
CL_0.080_CD_0.010_CoP_0.400,0.08,0.01,0.4,Lap_Sim_constantAero_T27.m not found.,127
CL_0.090_CD_0.010_CoP_0.400,0.09,0.01,0.4,Lap_Sim_constantAero_T27.m not found.,128
CL_0.100_CD_0.010_CoP_0.400,0.1,0.01,0.4,Lap_Sim_constantAero_T27.m not found.,129
CL_0.110_CD_0.010_CoP_0.400,0.11,0.01,0.4,Lap_Sim_constantAero_T27.m not found.,130
CL_0.120_CD_0.010_CoP_0.400,0.12,0.01,0.4,Lap_Sim_constantAero_T27.m not found.,131
CL_0.130_CD_0.010_CoP_0.400,0.13,0.01,0.4,Lap_Sim_constantAero_T27.m not found.,132
CL_0.140_CD_0.010_CoP_0.400,0.14,0.01,0.4,Lap_Sim_constantAero_T27.m not found.,133
CL_0.040_CD_0.015_CoP_0.400,0.04,0.015,0.4,Lap_Sim_constantAero_T27.m not found.,134
